layer,act_max_abs,act_mean_abs,act_var,act_max_over_mean,act_outlier_channel_frac,w_max_abs,w_std,w_max_over_std,recon_err_int8,recon_err_int4,loss_delta
0,0.1416,0.01381,0.0003,10.25,0.0,1.25,0.025903,48.26,0.009594,0.106266,0.00146
1,3.3008,0.119682,0.031554,27.58,0.0,0.41772,0.020301,20.58,0.009247,0.105018,0.00094
2,5.5195,0.165228,0.0757,33.41,0.0,0.64844,0.02025,32.02,0.009497,0.10551,0.00365
3,811.0,0.222955,5.671679,3637.5,0.09152,0.51953,0.019785,26.26,0.009434,0.105424,0.00459
4,1700.0,0.26516,24.424446,6411.23,0.09487,0.54736,0.02002,27.34,0.010179,0.107638,0.00061
5,1702.0,0.326736,24.543003,5209.1,0.09375,0.80469,0.020137,39.96,0.009481,0.105059,0.00199
6,1729.0,0.337617,25.352701,5121.19,0.09152,0.43677,0.020037,21.8,0.009737,0.106381,0.00203
7,1730.0,0.367122,25.416437,4712.33,0.08807,0.58936,0.019983,29.49,0.010481,0.1092,0.00171
8,1731.0,0.422122,25.529532,4100.71,0.08705,1.66406,0.02034,81.81,0.009883,0.107438,0.00336
9,1732.0,0.430628,25.581569,4022.03,0.08594,0.60547,0.019581,30.92,0.01035,0.109178,0.0012
10,1733.0,0.425413,25.617508,4073.68,0.08479,0.60107,0.019667,30.56,0.010429,0.108729,0.00393
11,1735.0,0.418301,25.648677,4147.73,0.08259,0.69482,0.019069,36.44,0.010823,0.110577,0.00359
12,1736.0,0.414741,25.671412,4185.75,0.08482,0.45166,0.019602,23.04,0.009941,0.108842,0.00261
13,1737.0,0.410687,25.694654,4229.5,0.08371,0.51514,0.019588,26.3,0.010542,0.110527,0.00394
14,1738.0,0.450934,25.783262,3854.22,0.08259,0.48438,0.019756,24.52,0.010663,0.110438,0.00367
15,1739.0,0.498847,25.902073,3486.04,0.08147,0.77344,0.020026,38.62,0.010742,0.110775,0.00491
16,1741.0,0.502997,25.989034,3461.25,0.08527,0.45337,0.020263,22.37,0.011309,0.112819,0.00531
17,1741.0,0.56226,26.132491,3096.43,0.08688,0.48804,0.020129,24.25,0.009932,0.107623,0.00565
18,1741.0,0.731947,26.649041,2378.59,0.08936,0.45312,0.020245,22.38,0.0095,0.105845,0.00148
19,1740.0,0.8244,26.972164,2110.63,0.09476,0.58594,0.020456,28.64,0.010198,0.108248,0.00156
20,1738.0,0.958266,27.42121,1813.69,0.11809,0.53955,0.020766,25.98,0.010197,0.108405,0.00217
21,1735.0,1.181105,28.728634,1468.96,0.14788,0.76221,0.021014,36.27,0.009548,0.105398,0.00185
22,80.0,1.304797,6.10372,61.31,0.12179,0.76514,0.020841,36.71,0.00966,0.105744,0.00165
23,72.0,1.53714,7.510634,46.84,0.2281,0.94189,0.020194,46.64,0.009572,0.106194,0.00672
